Date,FREN,ZG,SFSN,SLHN,LUKN,PM,PSPN,MOLN,GLKBN,MBTN1,BCGE,LUMX,DAE,FI-N,SGKN,PMN,PLAN,IGPH,BALN,WMN
2019-02-11,11.2056,5769.8403,71.7635,317.8788,79.166,408.2376,85.116,17.32,23.5042,,177.4105,0.1325,131.8484,765.9778,394.6826,435.479,197.6088,1.73,117.4186,0.0
2019-02-12,11.0868,5769.8403,72.3079,318.4989,78.6743,410.3617,84.788,18.06,23.5833,,177.8642,0.1465,132.2096,781.9452,395.0874,437.7448,197.6088,1.65,118.4098,0.0
2019-02-13,11.2056,5769.8403,74.3038,319.9717,77.8548,408.6624,84.296,17.58,23.5833,,176.9567,0.1425,132.5708,810.6865,393.4682,435.9322,195.8523,1.64,119.096,0.0
2019-02-14,11.364,5789.1374,75.2564,318.1889,77.6089,408.6624,83.886,17.96,23.7416,,177.8642,0.1425,131.6678,814.3362,391.0394,435.9322,196.7305,1.65,118.8673,0.0
2019-02-15,11.3244,5769.8403,76.6173,321.7544,77.527,411.2113,83.968,18.0,23.5042,,178.7717,0.1425,133.6545,819.8107,396.3018,438.6511,196.7305,1.65,119.8584,0.0
2019-02-18,11.2452,5750.5431,77.0256,319.119,77.1172,417.1585,83.968,17.28,23.8207,,178.3179,0.1425,132.7514,826.6539,401.1595,444.9952,197.6088,1.73,119.1722,0.0
2019-02-19,11.2848,5750.5431,76.5719,321.5219,77.8548,408.6624,83.64,17.36,23.8999,,177.8642,0.1425,134.1964,823.0042,398.7306,435.9322,195.8523,1.6,119.401,0.0
2019-02-20,11.1264,5789.1374,77.2524,322.9946,77.2811,417.1585,83.394,17.64,23.979,,178.3179,0.142,133.8351,862.2383,396.7066,444.9952,196.7305,1.8,121.3071,0.0
2019-02-21,11.2848,5808.4345,75.4379,321.6769,77.3631,413.7601,83.558,17.54,23.6625,,178.7717,0.14,132.3902,837.6029,392.2538,441.37,196.7305,1.75,120.5447,0.0
2019-02-22,11.3244,5789.1374,76.9802,324.4674,77.527,409.5121,83.394,17.68,23.6625,,178.7717,0.1425,133.1127,842.165,392.2538,436.8385,196.7305,1.7,121.1546,0.0
2019-02-25,11.4828,5866.3259,76.9348,328.498,76.8714,411.6361,82.984,17.98,24.1373,,178.7717,0.14,134.5576,851.2893,393.0634,439.1042,195.8523,1.74,122.5271,0.0
2019-02-26,11.4828,5827.7316,76.7988,331.7536,77.3631,414.6097,82.984,17.72,23.7416,,180.5866,0.139,134.0157,838.5154,390.6346,442.2763,196.7305,1.74,123.3658,0.0
2019-02-27,11.4432,5808.4345,76.1637,334.3115,77.6089,408.6624,82.984,17.86,23.7416,,181.0403,0.139,134.377,828.9349,393.0634,435.9322,196.7305,1.74,123.5945,0.0
2019-02-28,11.2848,5847.0288,74.1224,337.1794,77.6089,411.2113,83.312,17.72,23.5833,,180.5866,0.138,132.7514,807.493,391.4442,438.6511,196.7305,1.75,124.2807,0.0
2019-03-01,11.2452,5847.0288,75.8461,337.2569,77.1172,402.2904,82.656,17.72,23.5833,,181.4941,0.1465,134.377,843.5337,392.6586,429.1349,196.7305,1.79,124.5094,0.0
2019-03-04,11.3244,5885.623,76.9348,337.877,76.3797,403.14,83.148,17.54,23.1876,,181.4941,0.149,136.1831,869.9939,389.0154,430.0412,196.7305,1.7,124.5857,0.0
2019-03-05,11.4036,5847.0288,76.3905,338.2646,77.445,393.3695,83.394,17.38,23.2668,,182.4016,0.149,134.9188,864.0632,391.4442,419.6187,196.7305,1.59,124.5094,0.0
2019-03-06,11.4036,5885.623,74.8935,340.3574,76.8714,402.7152,83.23,16.08,23.1085,,183.309,0.144,134.0157,861.7821,392.2538,429.588,195.8523,1.59,124.6619,0.0
2019-03-07,11.364,5866.3259,72.1718,338.3421,77.445,389.5462,83.968,16.12,23.0294,,182.4016,0.145,129.1392,845.3585,388.6106,415.5403,196.7305,1.5,122.6033,0.0
2019-03-08,11.2848,5904.9201,71.3553,336.4043,77.527,393.3695,85.526,15.78,23.3459,,183.309,0.14,127.1524,818.8983,386.5866,419.6187,195.8523,1.57,121.2309,0.0
2019-03-11,11.2848,5885.623,73.9863,336.9469,77.3631,412.4857,85.69,16.94,23.1876,,183.309,0.14,126.9718,834.4095,388.2058,440.0105,194.974,1.6,120.7734,0.0
2019-03-12,11.364,5943.5144,72.6708,337.567,77.1172,422.681,85.854,16.62,22.9502,,185.124,0.148,126.7912,827.5663,385.7769,450.8862,197.6088,1.65,121.8408,0.0
2019-03-13,11.1264,5943.5144,72.58,339.2723,77.6909,424.805,86.51,16.68,23.5042,,185.124,0.148,128.0555,831.216,387.3962,453.1519,197.6088,1.64,122.6795,0.0
2019-03-14,11.3244,5943.5144,73.4873,342.0627,77.1992,430.7523,87.576,16.74,23.7416,,184.2165,0.14,127.6864,831.216,387.801,459.4961,204.6349,1.35,123.5182,0.0
2019-03-15,11.3244,5943.5144,75.9822,343.1479,76.8714,432.4515,88.232,17.0,23.8999,,184.2165,0.1335,128.9781,838.9716,386.9914,461.3087,204.6349,1.36,124.052,0.0
2019-03-18,11.364,5943.5144,77.5699,344.5431,77.527,435.0004,87.986,17.72,23.5042,,184.2165,0.1345,130.0852,844.4461,389.0154,464.0276,206.3914,1.6,124.2807,0.0
2019-03-19,11.4432,5982.1086,79.5659,343.768,79.0021,426.5043,88.068,17.7,23.5042,,185.124,0.13,133.7755,863.6069,388.6106,454.9645,207.2697,1.54,127.1018,0.0
2019-03-20,11.4828,5982.1086,79.1576,340.1249,78.6743,414.1849,87.904,17.44,23.8207,,185.124,0.13,133.4065,854.0265,392.6586,441.8231,209.0262,1.57,125.1194,0.0
2019-03-21,11.4432,5982.1086,78.9308,338.4971,77.6909,403.9896,88.232,16.9,23.979,,183.309,0.13,135.4362,850.3768,386.1818,430.9475,210.7827,1.55,124.8144,0.0
2019-03-22,11.4432,5924.2173,78.1143,332.2961,76.9533,416.3089,88.478,17.0,23.5833,,185.124,0.1265,134.1446,818.4421,377.6809,444.0889,210.7827,1.57,123.747,0.0
2019-03-25,11.4036,5943.5144,76.5266,333.9239,77.1992,398.4671,88.314,16.4,23.425,,182.4016,0.1295,133.591,807.493,376.4665,425.0565,210.7827,1.55,123.6707,0.0
2019-03-26,11.4432,5943.5144,77.3885,334.389,77.0353,393.7943,88.478,16.82,22.7128,,181.4941,0.1295,134.3291,814.3362,372.4185,420.0718,210.7827,1.57,123.8995,0.0
2019-03-27,11.4036,5943.5144,76.5719,334.544,77.0353,392.9447,88.642,17.44,22.5545,,181.4941,0.13,133.0375,807.0368,374.8473,419.1655,211.661,1.61,123.9757,0.0
2019-03-28,11.4828,5924.2173,77.1163,334.9316,76.7075,405.6888,88.806,17.1,22.6337,,181.0403,0.129,134.5136,807.9492,370.3944,432.7601,212.5393,1.61,123.8995,0.0
2019-03-29,11.3244,5924.2173,78.4772,339.8924,77.6909,411.6361,88.724,17.0,23.1085,,180.5866,0.127,135.8052,827.5663,370.3944,439.1042,211.661,1.6,125.4244,0.0
2019-04-01,11.4828,5982.1086,81.335,343.3029,79.166,414.6097,88.56,16.98,23.5833,,181.4941,0.12,139.4956,851.2893,376.4665,442.2763,213.4175,1.64,126.8731,0.0
2019-04-02,11.4036,5962.8115,82.2423,346.0159,79.0841,401.4408,88.642,17.6,23.8207,,181.4941,0.123,138.3885,854.0265,378.0857,428.2286,215.174,1.64,129.0842,0.0
2019-04-03,11.4432,5982.1086,83.2402,348.4963,80.5592,406.1136,88.724,19.0,24.0582,,183.309,0.117,140.0491,879.5743,381.7289,433.2132,214.2958,1.6,129.1604,0.0
2019-04-04,11.4828,6059.2971,81.3804,348.4187,80.1495,406.5384,87.904,19.0,24.2956,,183.309,0.115,140.4182,876.8371,384.1577,433.6664,214.2958,1.6,128.7792,0.0
2019-04-05,11.4036,6020.7029,82.1062,350.9767,78.5924,402.7152,87.576,19.44,24.1373,,182.4016,0.115,140.2337,880.4867,380.9193,429.588,211.661,1.6,129.3892,0.0
2019-04-08,11.4828,6059.2971,82.4237,352.4494,78.3465,402.7152,87.3216,19.1,23.8207,,182.4016,0.115,140.4182,881.3992,381.3241,429.588,210.7827,1.6,130.0754,0.0
2019-04-09,11.364,6001.4058,82.1515,351.8293,78.4285,400.5911,86.6434,18.52,23.7416,,181.4941,0.115,140.2337,872.2749,376.4665,427.3223,210.7827,1.59,128.9317,0.0
2019-04-10,11.4828,6001.4058,82.6959,351.1317,78.3465,401.4408,87.2369,19.0,24.1373,,183.309,0.114,138.942,884.1364,378.0857,428.2286,212.5393,1.59,128.9317,0.0
2019-04-11,11.4432,6078.5942,83.9207,352.0618,78.5104,402.7152,87.576,18.8,24.3747,,182.4016,0.118,137.6504,902.8411,382.1337,429.588,211.661,1.59,129.4654,0.0
2019-04-12,11.4432,6020.7029,84.7372,353.6896,78.4285,401.016,87.0673,18.8,24.533,,184.2165,0.11,140.2337,916.0712,383.7529,427.7754,212.5393,1.58,130.1516,0.0
2019-04-15,11.562,6078.5942,84.5557,358.4954,78.6743,406.9632,88.1694,18.8,24.9287,,183.309,0.106,140.4182,919.7209,388.2058,434.1195,212.5393,1.58,131.9815,0.0
2019-04-16,11.562,6097.8914,84.465,363.2236,78.5104,408.2376,88.339,18.6,24.9287,,184.2165,0.107,141.8943,941.619,388.2058,435.479,213.4175,1.6,134.5739,0.0
2019-04-17,11.6808,6078.5942,84.8733,365.7815,79.5202,414.1849,87.9999,18.5,25.3244,,183.309,0.103,141.8943,945.2687,386.9914,441.8231,213.4175,1.56,133.2015,0.0
2019-04-18,11.6016,6078.5942,85.6444,368.4945,79.9409,406.9632,87.9151,18.4,25.4826,,183.309,0.107,143.3705,960.7798,391.4442,434.1195,215.174,1.6,133.049,0.0
2019-04-23,11.7204,6078.5942,86.461,370.0447,78.847,408.6624,88.7629,18.16,25.9575,,184.2165,0.103,147.6144,972.2907,387.801,435.9322,219.6568,1.56,133.7352,0.0
2019-04-24,11.7614,6059.2971,85.8713,368.572,80.4458,397.6175,89.2715,17.94,25.9575,,184.2165,0.107,149.8286,975.0954,387.3962,424.1502,223.2431,1.6,132.0578,0.0
2019-04-25,11.6384,6059.2971,84.3289,369.8897,79.5202,399.3167,88.5933,17.88,25.7201,,182.4016,0.107,147.0608,968.5511,386.9914,425.9628,223.2431,1.71,132.6677,0.0
2019-04-26,11.6384,6020.7029,84.8279,370.6648,81.0349,411.2113,88.5933,17.94,25.7201,,181.0403,0.105,146.1382,932.0902,388.6666,438.6511,223.2431,1.6,133.7352,0.0
2019-04-29,11.6384,5943.5144,85.1908,369.8122,80.1934,417.5833,88.5085,17.64,25.2452,,181.4941,0.106,146.8763,937.6996,387.4102,445.4483,224.1396,1.74,133.5827,0.0
2019-04-30,11.4745,5982.1086,85.3723,371.3624,79.8568,404.8392,88.1694,17.68,25.1635,,182.4016,0.105,145.7692,925.546,386.5725,431.8538,224.1396,1.7,133.1252,0.0
2019-05-02,11.5974,6001.4058,84.6011,369.8122,79.1836,403.5648,88.4238,18.0,24.8367,,181.4941,0.089,144.6621,928.3507,386.5725,430.4943,224.1396,1.7,136.2637,0.0
2019-05-03,11.5155,5982.1086,84.7027,361.5526,79.436,412.4857,88.4238,17.64,24.5099,,182.7865,0.084,144.6621,930.6879,381.1279,440.0105,223.2431,1.65,135.2368,0.0
2019-05-06,11.7614,6040.0,83.5019,355.7085,79.6043,402.7152,88.4238,18.0,24.6733,,182.7865,0.075,140.6027,921.8064,381.1279,429.588,224.1396,1.6,133.7359,0.0
